,text
0,"<s>[INST]Your task is to extract the information corresponding to the provided labels from the below given email.

### Labels:
* pickup_location: Street address of the origin location of goods.
* pickup_cap: Postal code or ZIP code of the pickup location.
* pickup_port: Port of pickup, often used in international shipping.
* pickup_state: Only Country of pickup location.
* delivery_location: Street address of the destination location of goods.
* delivery_cap: Postal code or ZIP code of delivery location.
* delivery_port: Port of delivery, similar to pickup port.
* delivery_state: State or region of delivery location.
* total_quantity: Overall quantity of shipped items (e.g., pieces, boxes). Calculate the total_quantity by summing the quantity of all packages.
* total_weight: Total weight of the shipment (e.g., kg, lbs). Calculate the total_weight by summing the weights of all packages.
* total_volume: Total volume of the shipment (e.g., cubic meters, cubic feet). Calculate the total_volume by summing the volumes of all packages.
* quantity: Individual Quantity of a specific item being shipped.
* package_type: Individual Type of packaging used (e.g., pallets, cartons).
* weight: Individual Weight of a specific package.
* measures: Individual Dimensions or measurements of a package.
* stackable: Indicates whether the shipment is stackable (True or False).
* volume: Individual Volume of a specific package.
* commodity: Type of goods or commodities being shipped.
* company: Name of the email sending company, also the shipping company or carrier.
* incoterms: Choose available options: EXW, FCA, FAS, FOB, CFR, CIF, CPT, CIP, DAP, DPU, DDP.

For attributes with multiple values, such as measures, volume, weight, package_type, and quantity, provide each value separately in a JSON format.
 ### Input data:fm door Quinto Di Treviso to HKG / Totali Quantità: 2 Plts / 348 Kgs/ 3.84 Cbm / Cargo ready: 6 Jun Ciao Ale , 120*80*200 - 348 kgs. Totali , pick up address: , Viale dell'Industria, 26 , 310 55 QUINTO DI TREVISO , And kindly quote upto HKG under CPT terms , Grazie , alessio , Alessio Rovetta , Italy Seafreight Product Manager , [New Logo Mail] , S.P. 14 Rivoltana Km 9,500 , 20060 - Vignate (MI) , *si accede al sito da via Bruno Buozzi snc, Liscate (MI) , Telefono: 39 236766530 , Cellulare: 39 3427670429 , E-mail: a.rovetta@erixmar.com<mailto:a.rovetta@erixmar.com> , In relazione all'entrata in vigore del così detto GDPR, General Data Protection Regulation, anche noi in ERIXMAR SRL ### Output:{'pickup_location': ""Quinto Di Treviso Viale dell'Industria, 26 QUINTO DI TREVISO"", 'delivery_port': 'HKG HKG', 'total_quantity': '2', 'package_type': 'Plts', 'weight': '/ 348 Kgs/', 'volume': '3.84 Cbm', 'measures': '120*80*200 -', 'total_weight': '348 kgs.', 'pickup_cap': '310 55', 'incoterms': 'CPT'}"
1,"<s>[INST]Your task is to extract the information corresponding to the provided labels from the below given email.

### Labels:
* pickup_location: Street address of the origin location of goods.
* pickup_cap: Postal code or ZIP code of the pickup location.
* pickup_port: Port of pickup, often used in international shipping.
* pickup_state: Only Country of pickup location.
* delivery_location: Street address of the destination location of goods.
* delivery_cap: Postal code or ZIP code of delivery location.
* delivery_port: Port of delivery, similar to pickup port.
* delivery_state: State or region of delivery location.
* total_quantity: Overall quantity of shipped items (e.g., pieces, boxes). Calculate the total_quantity by summing the quantity of all packages.
* total_weight: Total weight of the shipment (e.g., kg, lbs). Calculate the total_weight by summing the weights of all packages.
* total_volume: Total volume of the shipment (e.g., cubic meters, cubic feet). Calculate the total_volume by summing the volumes of all packages.
* quantity: Individual Quantity of a specific item being shipped.
* package_type: Individual Type of packaging used (e.g., pallets, cartons).
* weight: Individual Weight of a specific package.
* measures: Individual Dimensions or measurements of a package.
* stackable: Indicates whether the shipment is stackable (True or False).
* volume: Individual Volume of a specific package.
* commodity: Type of goods or commodities being shipped.
* company: Name of the email sending company, also the shipping company or carrier.
* incoterms: Choose available options: EXW, FCA, FAS, FOB, CFR, CIF, CPT, CIP, DAP, DPU, DDP.

For attributes with multiple values, such as measures, volume, weight, package_type, and quantity, provide each value separately in a JSON format.
 ### Input data:, mi quotereste quanto segue per Favore? , Origine : Colico LC , 1 , 90 , 90 , 75 , Cm , 310 , 1 , 50 , 50 , 55 , Cm , 58 , 110 , 110 , 90 , Cm , 1510 , , 1 110 , 110 , 75 , Cm , 1130 , 1 , 65 , 65 , 70 , Cm , 160 , 1 , 50 , 50 , 55 , Cm , 40 , Cm / In , Cm / In , Cm / In , Cm / In , 6 PKGS , Total Actual Weight , KG 3208 , Ciao e grz , Francesco Luongo , D&P SRL ### Output:{'pickup_location': 'Colico LC', 'quantity': '1 1 , 1 1 1', 'measures': '90 , 90 , 75 Cm 50 , 50 , 55 Cm 110 , 110 , 90 Cm 110 , 110 , 75 Cm 65 , 65 , 70 , Cm 50 , 50 , 55 Cm', 'weight': '310 , 58 1510 , 1130 160 40', 'total_quantity': '6', 'package_type': 'PKGS', 'total_weight': 'KG 3208', 'company': 'D&P SRL'}"
2,"<s>[INST]Your task is to extract the information corresponding to the provided labels from the below given email.

### Labels:
* pickup_location: Street address of the origin location of goods.
* pickup_cap: Postal code or ZIP code of the pickup location.
* pickup_port: Port of pickup, often used in international shipping.
* pickup_state: Only Country of pickup location.
* delivery_location: Street address of the destination location of goods.
* delivery_cap: Postal code or ZIP code of delivery location.
* delivery_port: Port of delivery, similar to pickup port.
* delivery_state: State or region of delivery location.
* total_quantity: Overall quantity of shipped items (e.g., pieces, boxes). Calculate the total_quantity by summing the quantity of all packages.
* total_weight: Total weight of the shipment (e.g., kg, lbs). Calculate the total_weight by summing the weights of all packages.
* total_volume: Total volume of the shipment (e.g., cubic meters, cubic feet). Calculate the total_volume by summing the volumes of all packages.
* quantity: Individual Quantity of a specific item being shipped.
* package_type: Individual Type of packaging used (e.g., pallets, cartons).
* weight: Individual Weight of a specific package.
* measures: Individual Dimensions or measurements of a package.
* stackable: Indicates whether the shipment is stackable (True or False).
* volume: Individual Volume of a specific package.
* commodity: Type of goods or commodities being shipped.
* company: Name of the email sending company, also the shipping company or carrier.
* incoterms: Choose available options: EXW, FCA, FAS, FOB, CFR, CIF, CPT, CIP, DAP, DPU, DDP.

For attributes with multiple values, such as measures, volume, weight, package_type, and quantity, provide each value separately in a JSON format.
 ### Input data:PORT JEBEL ALI Buon pomeriggio, , potreste quotare quanto segue: , PICK UP: 37053 Cerea – Verona , N. 2 PALLET 100X120X210 CM , N. 1 PALLET 100X60X150 CM , N. 1 PALLET 100X60X150 CM , N. 1 PALLET 100X60X150 CM , N. 1 PALLET 110X70X140 CM , N. 2 PALLET 80X60X40 CM , N. 1 PALLET 80X60X40 CM , N. 2 PALLET 100X50X120 CM , N. 1 PALLET 100X50X120 CM , N. 1 PALLET 80X113X60 CM , N. 1 PALLET 80X120X80 CM , N. 1 PALLET 80X120X120 CM , N. 1 PALLET 80X120X110 CM , Total gross weight: about 4509 kg , POD: Jebel Ali ### Output:{'delivery_port': 'JEBEL ALI Jebel Ali', 'pickup_cap': '37053', 'pickup_location': 'Cerea – Verona', 'quantity': '2 1 1 1 1 2 1 2 1 1 1 1 1', 'package_type': 'PALLET PALLET PALLET PALLET PALLET PALLET PALLET PALLET PALLET PALLET PALLET PALLET PALLET', 'measures': '100X120X210 CM 100X60X150 CM 100X60X150 CM 100X60X150 CM 110X70X140 CM 80X60X40 CM 80X60X40 CM 100X50X120 CM 100X50X120 CM 80X113X60 CM 80X120X80 CM 80X120X120 CM 80X120X110 CM', 'total_weight': '4509 kg'}"
3,"<s>[INST]Your task is to extract the information corresponding to the provided labels from the below given email.

### Labels:
* pickup_location: Street address of the origin location of goods.
* pickup_cap: Postal code or ZIP code of the pickup location.
* pickup_port: Port of pickup, often used in international shipping.
* pickup_state: Only Country of pickup location.
* delivery_location: Street address of the destination location of goods.
* delivery_cap: Postal code or ZIP code of delivery location.
* delivery_port: Port of delivery, similar to pickup port.
* delivery_state: State or region of delivery location.
* total_quantity: Overall quantity of shipped items (e.g., pieces, boxes). Calculate the total_quantity by summing the quantity of all packages.
* total_weight: Total weight of the shipment (e.g., kg, lbs). Calculate the total_weight by summing the weights of all packages.
* total_volume: Total volume of the shipment (e.g., cubic meters, cubic feet). Calculate the total_volume by summing the volumes of all packages.
* quantity: Individual Quantity of a specific item being shipped.
* package_type: Individual Type of packaging used (e.g., pallets, cartons).
* weight: Individual Weight of a specific package.
* measures: Individual Dimensions or measurements of a package.
* stackable: Indicates whether the shipment is stackable (True or False).
* volume: Individual Volume of a specific package.
* commodity: Type of goods or commodities being shipped.
* company: Name of the email sending company, also the shipping company or carrier.
* incoterms: Choose available options: EXW, FCA, FAS, FOB, CFR, CIF, CPT, CIP, DAP, DPU, DDP.

For attributes with multiple values, such as measures, volume, weight, package_type, and quantity, provide each value separately in a JSON format.
 ### Input data:d'oglio /cat lai Buon giorno a tutti , Da Quinzano d'Oglio a Cat Lai mi servirebbe il prezzo per , 1 collo 80 x 60 x 55 (h) cm, gross weight 90 kg , , grazie per Vs riscontro , Rosanna Canale , Overseas Sales Manager , [Immagine che contiene disegnando Descrizione generata automaticamente] , Tel: (+39) 444 579579 - Fax: (+39) 444 579590 , Mobile: (+39) 346 3544064 , Headquarters: Via dei Laghi, 35 - 36077 - Altavilla Vicentina (VI) , Branch: Via Marzorati, 13/A - 20014 - Nerviano ### Output:{'pickup_location': ""d'oglio Quinzano d'Oglio"", 'delivery_port': '/cat lai Cat Lai', 'quantity': '1', 'package_type': 'collo', 'measures': '80 x 60 x 55 (h) cm,', 'total_weight': '90 kg'}"
4,"<s>[INST]Your task is to extract the information corresponding to the provided labels from the below given email.

### Labels:
* pickup_location: Street address of the origin location of goods.
* pickup_cap: Postal code or ZIP code of the pickup location.
* pickup_port: Port of pickup, often used in international shipping.
* pickup_state: Only Country of pickup location.
* delivery_location: Street address of the destination location of goods.
* delivery_cap: Postal code or ZIP code of delivery location.
* delivery_port: Port of delivery, similar to pickup port.
* delivery_state: State or region of delivery location.
* total_quantity: Overall quantity of shipped items (e.g., pieces, boxes). Calculate the total_quantity by summing the quantity of all packages.
* total_weight: Total weight of the shipment (e.g., kg, lbs). Calculate the total_weight by summing the weights of all packages.
* total_volume: Total volume of the shipment (e.g., cubic meters, cubic feet). Calculate the total_volume by summing the volumes of all packages.
* quantity: Individual Quantity of a specific item being shipped.
* package_type: Individual Type of packaging used (e.g., pallets, cartons).
* weight: Individual Weight of a specific package.
* measures: Individual Dimensions or measurements of a package.
* stackable: Indicates whether the shipment is stackable (True or False).
* volume: Individual Volume of a specific package.
* commodity: Type of goods or commodities being shipped.
* company: Name of the email sending company, also the shipping company or carrier.
* incoterms: Choose available options: EXW, FCA, FAS, FOB, CFR, CIF, CPT, CIP, DAP, DPU, DDP.

For attributes with multiple values, such as measures, volume, weight, package_type, and quantity, provide each value separately in a JSON format.
 ### Input data:CUCINE INOX // LCL ex. Italy to HK .Atelier Group Ciao Ale , Prego quotare quanto segue , Grazie , Please note our office will be closed on Friday, June 02nd due to a National Holiday in Italy [cid:image002.png@01D9945C.75A41550] , Stefano Caporali , Customer service , TRANSCOMA GLOBAL LOGISTICS S.R.L. , Via Pola 24, 20096 Pioltello, Milano, Italy , Ph. 39 3407079202 Mob. 39 3317702123 , customers.it@transcomalogistics.com<mailto:customers.it@transcomalogistics.com> | www.transcomalogistics.com<http://www.transcomalogistics.com/> , [Logotipo, nombre de la empresa Descripción generada automáticamente][Description: cid:image011.jpg@01D8C2CE.1565BC30] [Logotipo Descripción generada automáticamente] , Hi, , Please help to quote the LCL EXW rates to us: , Ship Mode: By Sea (LCL), ready now, , POL: Italy , POD: Hong Kong , Commodity: Kitchenware , Shipper Esistyle , Loc. Campo dell Olmo, 60044, Fabriano (AN ) Italy , Cargo figure: 4 WODEN CASES / 935 kgs , dims: 3 (190X80X120) + 1 (235X60X30) , Commodities: STEEL COMPONENTS FOR OUTDOOR KITCHENS AISI 316 , Thanks & Best Regards, , [Logo Description automatically generated] , GLOBAL FREIGHT SERVICES (HONG KONG) LIMITED , An affiliate of Li & Fung , Angel Chan , Manager - Sales and Business Development - Hong Kong & South China , T 852 2300 5016 | M 852 9621 2134 , 2/F, HK Spinners ### Output:{'pickup_state': 'Italy Italy Italy', 'delivery_port': 'HK Hong Kong', 'company': 'TRANSCOMA GLOBAL LOGISTICS S.R.L. GLOBAL FREIGHT SERVICES (HONG KONG) LIMITED', 'incoterms': 'EXW', 'commodity': 'Kitchenware STEEL COMPONENTS FOR OUTDOOR KITCHENS AISI 316', 'pickup_location': 'Campo dell Olmo, 60044, Fabriano (AN )', 'quantity': '4 3 1', 'package_type': 'WODEN CASES', 'total_weight': '935 kgs', 'measures': '(190X80X120) (235X60X30)'}"
5,"<s>[INST]Your task is to extract the information corresponding to the provided labels from the below given email.

### Labels:
* pickup_location: Street address of the origin location of goods.
* pickup_cap: Postal code or ZIP code of the pickup location.
* pickup_port: Port of pickup, often used in international shipping.
* pickup_state: Only Country of pickup location.
* delivery_location: Street address of the destination location of goods.
* delivery_cap: Postal code or ZIP code of delivery location.
* delivery_port: Port of delivery, similar to pickup port.
* delivery_state: State or region of delivery location.
* total_quantity: Overall quantity of shipped items (e.g., pieces, boxes). Calculate the total_quantity by summing the quantity of all packages.
* total_weight: Total weight of the shipment (e.g., kg, lbs). Calculate the total_weight by summing the weights of all packages.
* total_volume: Total volume of the shipment (e.g., cubic meters, cubic feet). Calculate the total_volume by summing the volumes of all packages.
* quantity: Individual Quantity of a specific item being shipped.
* package_type: Individual Type of packaging used (e.g., pallets, cartons).
* weight: Individual Weight of a specific package.
* measures: Individual Dimensions or measurements of a package.
* stackable: Indicates whether the shipment is stackable (True or False).
* volume: Individual Volume of a specific package.
* commodity: Type of goods or commodities being shipped.
* company: Name of the email sending company, also the shipping company or carrier.
* incoterms: Choose available options: EXW, FCA, FAS, FOB, CFR, CIF, CPT, CIP, DAP, DPU, DDP.

For attributes with multiple values, such as measures, volume, weight, package_type, and quantity, provide each value separately in a JSON format.
 ### Input data:Logistics//INQUIRY// EXW via Don Er idan o Torri, 2 25027 Quinzano d'Oglio (BS) ITALY - - HCM BY AIR & LCL Ciao Ale , Prego quotare quanto segue , Grazie , Please note our office will be closed on Friday, June 02nd due to a National Holiday in Italy. , [cid:image001.png@01D9945D.19D30730] , Stefano Caporali , Customer service , TRANSCOM A GLOBAL LOGISTICS S.R.L. , Via Pola 24, 20096 Pioltello, Milano, Italy , Ph. 39 3407079202 Mob. 39 3317702123 , customers.it@transcomalogistics.com<mailto:customers.it@transcomalogistics.com> | www.transcomalogistics.com<http://www.transcomalogistics.com/> , [Logotipo, nombre de la empresa Descripción generada automáticamente][Description: cid:image011.jpg@01D8C2CE.1565BC30] [Logotipo Descripción generada automáticamente] , You don't often get email from cs3@green-eagle.com.vn<mailto:cs3@green-eagle.com.vn>. Learn why this is important<https://aka.ms/LearnAboutSenderIdentification> , Dear Stefano, , Nice to connect with you via JCTRANS, , Kindly advise us rate as below case ( need POD local charges via LCL also) , Term: EXW by LCL & AIR , Pickup: , Tecnopea s.r.l.- Lonati Group , via Don Er idano Torri , 2 , 25027 Quinzano d'Oglio (BS) , ITALY , VOL: The parcel is 80 x 60 x 55 (h) cm, gross weight 90 kg, 0.264CBM Comm: garments , POD/AOD: CAT LAI ### Output:{'incoterms': 'EXW EXW', 'pickup_location': ""via Don Er idan o Torri, 2 Quinzano d'Oglio (BS) Tecnopea s.r.l.- Lonati Group , via Don Er idano Torri , 2 , Quinzano d'Oglio (BS)"", 'pickup_cap': '25027 25027', 'pickup_state': 'ITALY - ITALY', 'delivery_port': 'HCM CAT LAI', 'company': 'TRANSCOM A GLOBAL LOGISTICS S.R.L.', 'measures': '80 x 60 x 55 (h) cm,', 'total_weight': '90 kg,', 'volume': '0.264CBM', 'commodity': 'garments'}"
6,"<s>[INST]Your task is to extract the information corresponding to the provided labels from the below given email.

### Labels:
* pickup_location: Street address of the origin location of goods.
* pickup_cap: Postal code or ZIP code of the pickup location.
* pickup_port: Port of pickup, often used in international shipping.
* pickup_state: Only Country of pickup location.
* delivery_location: Street address of the destination location of goods.
* delivery_cap: Postal code or ZIP code of delivery location.
* delivery_port: Port of delivery, similar to pickup port.
* delivery_state: State or region of delivery location.
* total_quantity: Overall quantity of shipped items (e.g., pieces, boxes). Calculate the total_quantity by summing the quantity of all packages.
* total_weight: Total weight of the shipment (e.g., kg, lbs). Calculate the total_weight by summing the weights of all packages.
* total_volume: Total volume of the shipment (e.g., cubic meters, cubic feet). Calculate the total_volume by summing the volumes of all packages.
* quantity: Individual Quantity of a specific item being shipped.
* package_type: Individual Type of packaging used (e.g., pallets, cartons).
* weight: Individual Weight of a specific package.
* measures: Individual Dimensions or measurements of a package.
* stackable: Indicates whether the shipment is stackable (True or False).
* volume: Individual Volume of a specific package.
* commodity: Type of goods or commodities being shipped.
* company: Name of the email sending company, also the shipping company or carrier.
* incoterms: Choose available options: EXW, FCA, FAS, FOB, CFR, CIF, CPT, CIP, DAP, DPU, DDP.

For attributes with multiple values, such as measures, volume, weight, package_type, and quantity, provide each value separately in a JSON format.
 ### Input data:TO PORT KLANG Si ,richiede offerta per PORT KELANG , POL: nearest seaport , POD: Port Klang Commodity: Herbacel AQ Plus Citrus , Dim: 120 x 100 x 180 cm/pc , Total weight: 2700kg , Total qty: 3 pallet , Pick up: 38050 Novalado , Grazie , Cesare G. Iessi , Country Manager , CGI Logistics Italy Srl ### Output:{'delivery_port': 'KLANG Si PORT KELANG Port Klang', 'commodity': 'Herbacel AQ Plus Citrus', 'measures': '120 x 100 x 180 cm/pc', 'total_weight': '2700kg', 'total_quantity': '3', 'package_type': 'pallet', 'pickup_cap': '38050', 'pickup_location': 'Novalado', 'company': 'CGI Logistics Italy Srl'}"
7,"<s>[INST]Your task is to extract the information corresponding to the provided labels from the below given email.

### Labels:
* pickup_location: Street address of the origin location of goods.
* pickup_cap: Postal code or ZIP code of the pickup location.
* pickup_port: Port of pickup, often used in international shipping.
* pickup_state: Only Country of pickup location.
* delivery_location: Street address of the destination location of goods.
* delivery_cap: Postal code or ZIP code of delivery location.
* delivery_port: Port of delivery, similar to pickup port.
* delivery_state: State or region of delivery location.
* total_quantity: Overall quantity of shipped items (e.g., pieces, boxes). Calculate the total_quantity by summing the quantity of all packages.
* total_weight: Total weight of the shipment (e.g., kg, lbs). Calculate the total_weight by summing the weights of all packages.
* total_volume: Total volume of the shipment (e.g., cubic meters, cubic feet). Calculate the total_volume by summing the volumes of all packages.
* quantity: Individual Quantity of a specific item being shipped.
* package_type: Individual Type of packaging used (e.g., pallets, cartons).
* weight: Individual Weight of a specific package.
* measures: Individual Dimensions or measurements of a package.
* stackable: Indicates whether the shipment is stackable (True or False).
* volume: Individual Volume of a specific package.
* commodity: Type of goods or commodities being shipped.
* company: Name of the email sending company, also the shipping company or carrier.
* incoterms: Choose available options: EXW, FCA, FAS, FOB, CFR, CIF, CPT, CIP, DAP, DPU, DDP.

For attributes with multiple values, such as measures, volume, weight, package_type, and quantity, provide each value separately in a JSON format.
 ### Input data:COLOMBO , Ah Bruscaaa! Buongiorno!! , Gentilmente mi quoti: , 1 wooden case dim. 130x130xh.80 cm - approx. gross weight: Kg.250 , Address<https://www.google.com/search?sxsrf=APwXEdcp0APsDMumK0GirIMIrx5d8o5RMg:1685599630016&q=m+%2B+e+macchine+%2B+engineering+address&ludocid=1650884174038309000&sa=X&ved=2ahUKEwiVsrj5s6H_AhWlXWwGHeWICD0Q6BN6BAg7EAI>: 23824 Dervio LC, Italy , thankssssssss , Manuela , OUR OFFICE WILL BE CLOSED ON JUNE 2ND FOR NATIONAL HOLIDAY , ON LINE NUOVO CANALE YOUTUBE: [cid:image001.jpg@01D9946C.DA0B1B00] <https://youtu.be/fDg4B1SqPgo> , [cid:image002.jpg@01D9946C.DA0B1B00] , Manuela Schembri (Mrs.) , Export sales , Direct Ph.: -5353691 , Email: schembri@gdtlogistic.com<mailto:schembri@gdtlogistic.com> , GDT Logistic S.P.A. ### Output:{'delivery_port': 'COLOMBO', 'quantity': '1', 'package_type': 'wooden case', 'measures': '130x130xh.80 cm', 'total_weight': 'Kg.250', 'pickup_cap': '23824', 'pickup_location': 'Dervio LC,', 'pickup_state': 'Italy', 'company': 'GDT Logistic S.P.A.'}"
8,"<s>[INST]Your task is to extract the information corresponding to the provided labels from the below given email.

### Labels:
* pickup_location: Street address of the origin location of goods.
* pickup_cap: Postal code or ZIP code of the pickup location.
* pickup_port: Port of pickup, often used in international shipping.
* pickup_state: Only Country of pickup location.
* delivery_location: Street address of the destination location of goods.
* delivery_cap: Postal code or ZIP code of delivery location.
* delivery_port: Port of delivery, similar to pickup port.
* delivery_state: State or region of delivery location.
* total_quantity: Overall quantity of shipped items (e.g., pieces, boxes). Calculate the total_quantity by summing the quantity of all packages.
* total_weight: Total weight of the shipment (e.g., kg, lbs). Calculate the total_weight by summing the weights of all packages.
* total_volume: Total volume of the shipment (e.g., cubic meters, cubic feet). Calculate the total_volume by summing the volumes of all packages.
* quantity: Individual Quantity of a specific item being shipped.
* package_type: Individual Type of packaging used (e.g., pallets, cartons).
* weight: Individual Weight of a specific package.
* measures: Individual Dimensions or measurements of a package.
* stackable: Indicates whether the shipment is stackable (True or False).
* volume: Individual Volume of a specific package.
* commodity: Type of goods or commodities being shipped.
* company: Name of the email sending company, also the shipping company or carrier.
* incoterms: Choose available options: EXW, FCA, FAS, FOB, CFR, CIF, CPT, CIP, DAP, DPU, DDP.

For attributes with multiple values, such as measures, volume, weight, package_type, and quantity, provide each value separately in a JSON format.
 ### Input data:37040 Gazzolo d'Arcole (VR) / BAHRAIN - Sinergy Ciao , Pls mi quotereste come da oggetto? , 1 collo su carto-pallet (cm) 100x104x94h - 145 kg , non sovrapponibile ### Output:{'pickup_cap': '37040', 'pickup_location': ""Gazzolo d'Arcole (VR)"", 'delivery_port': 'BAHRAIN', 'quantity': '1', 'package_type': 'collo su carto-pallet', 'measures': '(cm) 100x104x94h', 'total_weight': '- 145 kg', 'stackable': 'non sovrapponibile'}"
9,"<s>[INST]Your task is to extract the information corresponding to the provided labels from the below given email.

### Labels:
* pickup_location: Street address of the origin location of goods.
* pickup_cap: Postal code or ZIP code of the pickup location.
* pickup_port: Port of pickup, often used in international shipping.
* pickup_state: Only Country of pickup location.
* delivery_location: Street address of the destination location of goods.
* delivery_cap: Postal code or ZIP code of delivery location.
* delivery_port: Port of delivery, similar to pickup port.
* delivery_state: State or region of delivery location.
* total_quantity: Overall quantity of shipped items (e.g., pieces, boxes). Calculate the total_quantity by summing the quantity of all packages.
* total_weight: Total weight of the shipment (e.g., kg, lbs). Calculate the total_weight by summing the weights of all packages.
* total_volume: Total volume of the shipment (e.g., cubic meters, cubic feet). Calculate the total_volume by summing the volumes of all packages.
* quantity: Individual Quantity of a specific item being shipped.
* package_type: Individual Type of packaging used (e.g., pallets, cartons).
* weight: Individual Weight of a specific package.
* measures: Individual Dimensions or measurements of a package.
* stackable: Indicates whether the shipment is stackable (True or False).
* volume: Individual Volume of a specific package.
* commodity: Type of goods or commodities being shipped.
* company: Name of the email sending company, also the shipping company or carrier.
* incoterms: Choose available options: EXW, FCA, FAS, FOB, CFR, CIF, CPT, CIP, DAP, DPU, DDP.

For attributes with multiple values, such as measures, volume, weight, package_type, and quantity, provide each value separately in a JSON format.
 ### Input data:Ex- Italy to Chennai // Ex-works Totali Quantità: 6 cases // 3200kgs // Dear All, , Kindly provide best ocean freight and ex-works charges for below mentioned enquiry. , Terms: Ex-works , POD: Chennai , Case 2x1.06x1.6 Meters - weight kg 500 , Case 2x1.06x1.6 Meters - weight kg 500 , Case 2x1.06x1.6 Meters - weight kg 500 , Case 2x1.06x1.6 Meters - weight kg 500 , Case 2x0.76x1.6 Meters - weight kg 350 , Case 2x1.2x1 Meters - weight kg 850 , Pick up Address. , PROTEC SRL ### Output:{'pickup_state': 'Italy', 'delivery_port': 'Chennai Chennai', 'incoterms': 'Ex-works ex-works Ex-works', 'total_quantity': '6', 'package_type': 'cases Case Case Case Case Case Case', 'weight': '3200kgs kg 500 kg 500 kg 500 kg 500 kg 350 kg 850', 'measures': '2x1.06x1.6 Meters 2x1.06x1.6 Meters 2x1.06x1.6 Meters 2x1.06x1.6 Meters 2x0.76x1.6 Meters 2x1.2x1 Meters', 'pickup_location': 'PROTEC SRL'}"
